id,name_primary,name_alt1,name_alt2,name_alt3,group,country,river_area,district_resort,lat,lng,coord_confidence,notes,source,mz_clinic
1,Diitabiki,Drietabbetje,Dritabiki,Drijtabiki,Ndyuka,Suriname,Tapanahoni River,Tapanahony,4.113889,-54.676111,high,Residence of the Ndyuka granman since 1950; location of the oracle; airstrip: Drietabbetje (regular scheduled),Wikipedia / Wikimili,yes
2,Futupasi,,,, Ndyuka,Suriname,Tapanahoni River,Tapanahony,3.84,-55.300,medium,Railway crossing for Granholo waterfalls; ferry service point,Wikipedia (Dritabiki article),no
3,Puketi,,,, Ndyuka,Suriname,Tapanahoni River,Tapanahony,3.82,-55.310,medium,Former hydroelectric power plant; ferry destination from Futupasi,Wikipedia (Dritabiki article),no
4,Mainsi,,,, Ndyuka,Suriname,Tapanahoni River,Tapanahony,3.89,-55.180,medium,Village close to Diitabiki,Wikipedia (Dritabiki article),no
5,Fisiti,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,3.76,-55.280,medium,Village on upper Tapanahoni; mentioned in oral history re. Paanza rice ancestor,Maroon Women rice article,no
6,Gaanboli,,,,Ndyuka,Suriname,Tapanahoni River,Tapanahony,3.75,-55.400,medium,Boundary point of Ndyuka territory on Tapanahoni,French Guiana Maroons report,no
7,Cottica Lawa,Cotticadorp,Cottica,,Aluku / Ndyuka,Suriname,Marowijne River border,Tapanahony,3.86,-54.380,high,Village on Marowijne/Lawa border; Aluku history; resettled 1902; only Aluku village in Suriname. Clinic and school present; airstrip: Cottica (irregular charter),Wikipedia (Cottica),yes
8,Moiwana,,,,Ndyuka,Suriname,Cottica / Marowijne coastal area,Marowijne,5.43,-54.040,high,Site of 1986 massacre; historic Ndyuka village; monument established 2007. Near Albina on E-W road,Wikipedia / dark-tourism.com,no
9,Stoelmanseiland,Stoelie,,,Ndyuka / Paramaka,Suriname,Marowijne River (confluence Tapanahoni-Lawa),Pamacca,4.37,-54.400,high,Island village at Tapanahoni-Lawa confluence; Jungle Commando HQ 1986-92; hospital (Johannes King); airstrip: Stoelmanseiland (regular scheduled),Wikipedia (Stoelmanseiland),yes
10,Langatabiki,Langatabbetje,Long Island,,Paramaka,Suriname,Marowijne River,Paramacca,4.9917,-54.4417,high,Granman residence of Paramaka; founded 1879; airstrip; solar power since 2016; clinic; school,Wikipedia (Langatabiki),yes
11,Snesiekondre,,,,Paramaka,Suriname,Marowijne River,Paramacca,4.35,-54.490,medium,Administrative centre of Paramacca resort; road end village,Wikipedia (Pamacca),no
12,Lokaloka,Loka,,,Paramaka,Suriname,Marowijne River,Paramacca,4.43,-54.370,high,Island village on Marowijne; ~200 residents; last village of Paramaka upstream; no clinic; dependent on Nason,Wikipedia (Lokaloka),no
13,Nason,,,,Paramaka,Suriname,Marowijne River,Paramacca,4.41,-54.440,medium,Has clinic; school; serves as service hub for nearby Paramaka villages including Lokaloka,Wikipedia (Pamacca) / Lokaloka article,yes
14,Gakaba,,,,Paramaka,Suriname,Marowijne River,Paramacca,4.39,-54.420,medium,Has school; one of 13 Paramaka resort villages; airstrip: Gakaba (regular scheduled),Wikipedia (Pamacca),yes
15,Akaati,Akati,,,Paramaka,Suriname,Marowijne River,Paramacca,4.37,-54.450,low,Small/possibly uninhabited; most residents moved to mainland road,Schalkwijk / Pamaka history paper,no
16,Pikintabiki,,,,Paramaka,Suriname,Marowijne River,Paramacca,4.36,-54.460,low,Small/possibly uninhabited; most residents moved to mainland,Schalkwijk / Pamaka history paper,no
17,Providence,,,,Paramaka,French Guiana,Maroni River (FG side),Apatou commune,4.1,-54.350,medium,Single Paramaka village in French Guiana; on west bank of Maroni,Wikipedia (Paramaccan),no
18,Atjoni,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.83,-55.460,high,Jetty of Atjoni near Pokigron; departure point for river transport,Wikipedia (Upper Suriname River),no
19,Goddo,Godo,,, Saramaka,Suriname,Upper Suriname River (confluence Gran Rio/Pikin Rio),Boven Suriname,3.81,-56.240,high,Village at source of Upper Suriname River; confluence of Gran Rio and Pikin Rio; Tapawatrasula rapids nearby,Wikipedia (Upper Suriname River),no
20,Djumu,Djoemoe,,,Saramaka,Suriname,Gran Rio / Upper Suriname source,Boven Suriname,3.78,-56.200,high,Near Goddo; airstrip (Djoemoe Airstrip); source area of Upper Suriname,Wikipedia (Upper Suriname River),yes
21,Soolan,,,,Saramaka,Suriname,Upper Suriname River / Gran Rio source,Boven Suriname,3.8,-56.220,medium,Near Goddo and Djumu at source of Upper Suriname,Wikipedia (Upper Suriname River),no
22,Bendekonde,Bendikwai,Bendikondre,,Saramaka,Suriname,Pikin Rio (Upper Suriname tributary),Boven Suriname,3.86,-56.140,medium,Village along Pikin Rio; Paanza rice ancestor shrine; annual harvest ceremony,Rice article / Wikipedia,no
23,Debike,Debikè,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.2,-55.960,medium,Medical post; village on Upper Suriname,Wikipedia (Upper Suriname River),no
24,Heikoenoenoe,Heikununu,Heikoenenoe,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.05,-56.050,medium,Medical post; village / rapid on Upper Suriname,Wikipedia (Upper Suriname River),yes
25,Semoisi,Semoisie,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.1,-56.000,medium,Medical post; village on Upper Suriname,Wikipedia (Upper Suriname River),no
26,Dangogo,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,3.87,-56.100,medium,Two villages (Dangogo 1 & 2) on Upper Suriname list; gran slee area,Wikipedia (Upper Suriname River),no
27,Gran Slee,Akwaukondre,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,3.9,-56.060,medium,Village cluster on Upper Suriname; Bofokule and Apiapaati nearby,Wikipedia (Upper Suriname River),no
28,Pingpe,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.02,-56.040,medium,Village on Upper Suriname; Mambijai and Daume listed nearby,Wikipedia (Upper Suriname River),no
